Company_Name,Pincode,State,City,Company_Url,Logo_Url,"Rating,Reviews",Contact_Person_1,Contact_Person_2,Email,Website,Address,Head_Office,"Listed_In,About_Us",Opening_Closing_Time,Weekly_Services,Mobile1,Mobile2,Mobile3,Mobile4,Mobile5,Mobile6,tollfree1,tollfree2,tollfree3,stdcode,Phone1,Phone2,Phone3,Phone4,Phone5,fax_cut,Fax_prefix,Fax_Number1,Fax_Number2,"Tag,Image_Urls",Established_Year,Tagline,Feature-Tags,Tagline2,Lat,Lon
Exppress car Wash ,305001,Rajasthan,Ajmer,https://www.exppresscarwash.com/locateOurOutlets/Ajmer,,,Yash Sharma,,info@exppresscarwash.com                                            ,,"01,Premz Autobloom,Vihar ColonyBK Kaul NagarGokul-DAM-I,Ajmer.",,,09:00 -  06:00,Cleaning and making Cars Shinny 7 Days a Week,9711457624,94141 61141,,,,,,,,,,,,,,,,,,,,,,,26.46501202727143,74.60264021534144
Exppress car Wash ,590019,Karnataka,Belagavi,https://www.exppresscarwash.com/locateOurOutlets/Belagavi,,,shanoor bilagi,Furkan palegar,info@exppresscarwash.com                                            ,,Plot no.1Sai ColonyBauxite Roadnear Sai MandirBelagavi.,,,9:00 -  6:00,Cleaning and making Cars Shinny 7 Days a Week,8884719923,8123488713,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,752055,Orissa,Bhubneshwar,https://www.exppresscarwash.com/locateOurOutlets/Bhubneshwar,,,Shahjahan Khan,,info@exppresscarwash.com                                            ,,"Chennai - Kolkata HwyPalatotapada,Bhubaneshwar.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9439001555,,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,824231,Bihar,Bodhgaya,https://www.exppresscarwash.com/locateOurOutlets/Bodhgaya,,,Mr. Romit,,info@exppresscarwash.com                                            ,,",Bodhgaya.",,, -  ,Cleaning and making Cars Shinny  Days a Week,7779990401,,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,846001,Bihar,Darbhanga,https://www.exppresscarwash.com/locateOurOutlets/Darbhanga,,, Mr. Suman Kumar,Mr. Saurav,info@exppresscarwash.com                                            ,,"Ekmi road Laheriasarai darbhanga,Near Mithila Dental college,PincodeDarbhanga.",,,9:00 -  6:00,Cleaning and making Cars Shinny 7 Days a Week,7280042008,7479789797,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,385535,Gujarat,Deesa Gujarat,https://www.exppresscarwash.com/locateOurOutlets/DeesaGujarat,,,solanki sureshkumar ,chaudhary amrutbhai kalubhai,info@exppresscarwash.com                                            ,,"vraj arcade-2 left side,deesa to aakhol chokdi highway ,aakhol deesabanaskantha.",,, -  ,Cleaning and making Cars Shinny  Days a Week,7285004212,7600768322,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,797112,Nagaland,Dimapur,https://www.exppresscarwash.com/locateOurOutlets/Dimapur,,,Vikaram Das,,info@exppresscarwash.com                                            ,,"H.NO. 181Ayemi BuildingTajen Ao Rdnear Don Bosco SchoolRiver Belt Colony,Dimapur.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9612999444,,,,,,,,,,,,,,,,,,,,,,,,25.91634048999284,93.71077652641961
Exppress car Wash ,121006,Haryana,Faridabad,https://www.exppresscarwash.com/locateOurOutlets/Faridabad,,,Aditya  Gupta,,info@exppresscarwash.com                                            ,,Plot No. 5Wazir MarketFaridabad Bypass RdSector 9.,,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9891234455,,,,,,,,,,,,,,,,,,,,,,,,28.384229621846497,77.33762942698533
Exppress car Wash ,201301,UTTAR PRADESH,G B Nagar,https://www.exppresscarwash.com/locateOurOutlets/GBNagar,,,SHAILENDRA KUMAR DWIVEDI,,info@exppresscarwash.com                                            ,,Khasra No. 180Next to Bhutani AlphathumSector-90Noida – district G B NagarUPNoida.,,, -  ,Cleaning and making Cars Shinny  Days a Week,9999757353,,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,144527,Punjab,Garhshankar,https://www.exppresscarwash.com/locateOurOutlets/Garhshankar,,,Lalit Kumar,,info@exppresscarwash.com                                            ,,",Garhshankar.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,8872862552,9465801212,,,,,,,,,,,,,,,,,,,,,,,31.219714714835472,76.12634339150343
Exppress car Wash ,152101,Punjab,Giddarbaha,https://www.exppresscarwash.com/locateOurOutlets/Giddarbaha,,,Sohil Goyal,,                                            ,,",Giddarbaha.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9059272000,,,,,,,,,,,,,,,,,,,,,,,, 30.216615643946373,74.65829335738036
Exppress car Wash ,403601,Goa,Goa,https://www.exppresscarwash.com/locateOurOutlets/Goa,,,Mr. Douglas M Pinheiro,,info@exppresscarwash.com                                            ,,D P Enterprises Pinheiro Bldg.Plot no 18Amrut NagarGogolMargao.,,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9604836573,,,,,,,,,,,,,,,,,,,,,,,,15.292537811318212,73.9862046343746
Exppress car Wash ,201306,Uttar Pradesh,Greater Noida West,https://www.exppresscarwash.com/locateOurOutlets/GreaterNoidaWest,,,Mr. Rajesh Kumar,,info@exppresscarwash.com                                            ,,"""Plot number 112 Pandit Babu Ram Sharma Market Saini Sector 12 Greater Noida West ;Landmark: Opposite coco country society,Greater Noida West.",,, -  ,Cleaning and making Cars Shinny  Days a Week,7827437531,9313416607,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,825301,Jharkhand,Hazaribagh,https://www.exppresscarwash.com/locateOurOutlets/Hazaribagh,,,Mr.Rakesh Kumar Singh,,info@exppresscarwash.com                                            ,,"Naya KhapBakashpura NH-33Chowknear Masipidhi,Hazaribagh.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,99055577070,,,,,,,,,,,,,,,,,,,,,,,,23.94998352709185,85.3721708275848
Exppress car Wash ,500019,Telangana,Hyderabad,https://www.exppresscarwash.com/locateOurOutlets/Hyderabad,,,K NAGARJUN REDDY,,info@exppresscarwash.com                                            ,,"Plot.No: 8south park apartmentNallagandlaSerilingampalle,Hyderabad.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9647999999,,,,,,,,,,,,,,,,,,,,,,,,17.480832137569767,78.31711554232959
Exppress car Wash ,768203,Odisha,Jharsuguda,https://www.exppresscarwash.com/locateOurOutlets/Jharsuguda,,,Nitesh Sanghai,Megha Sanghai,info@exppresscarwash.com                                            ,,"Near Beheramal,Jharsuguda,Orissajharsuguda .",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9438866500,8458020500,,,,,,,,,,,,,,,,,,,,,,,,
