Company_Name,Pincode,State,City,Company_Url,Logo_Url,"Rating,Reviews",Contact_Person_1,Contact_Person_2,Email,Website,Address,Head_Office,"Listed_In,About_Us",Opening_Closing_Time,Weekly_Services,Mobile1,Mobile2,Mobile3,Mobile4,Mobile5,Mobile6,tollfree1,tollfree2,tollfree3,stdcode,Phone1,Phone2,Phone3,Phone4,Phone5,fax_cut,Fax_prefix,Fax_Number1,Fax_Number2,"Tag,Image_Urls",Established_Year,Tagline,Feature-Tags,Tagline2,Lat,Lon
THE DETAILING MAFIA,282005,,Agra,https://www.thedetailingmafia.com/locate-our-outlets/Agra,,,Mr. Shivam Gupta,,info@thedetailingmafia.com,,"A/1, Lawyer's Colony, Bypass Road, NH19, near Madhusudan Motors Maruti Showroom.",,,10:30 AM - 9:30 PM,Making Cars Happy 7 Days a Week,079009 07070,,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,382415,,Ahmedabad,https://www.thedetailingmafia.com/locate-our-outlets/Ahmedabad,,,Mr. Vishal Rai,Mr. Kanhaiya,info@thedetailingmafia.com,,"G- 1,2 Jahnvi Arcade, Nr. Global Business Park, Odhav-Vastral, Odhav Rd, Odhav.",,,10:00 AM - 8:00 PM,Making Cars Happy 7 Days a Week,9974175482,9725762519,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,515004,,Anantapur,https://www.thedetailingmafia.com/locate-our-outlets/Anantapur,,,Mr. S.Pavan Kumar Reddy,,info@thedetailingmafia.com,,"NH-44 service Road, Beside Volkswagen Showroom, Thapovanam, Ananthapur.",,,9:00 AM - 7:00 PM,7 Days Open.,9494434084,,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,,,Anna Nagar Chennai,https://www.thedetailingmafia.com/locate-our-outlets/AnnaNagarChennai,,,Mr. Vineet rai,,info@thedetailingmafia.com,,"Block V, 40, 4th Main Rd, Block V, Block U, Anna Nagar, NULL",,,10:00 AM - 8:00 PM,Making Cars Happy 7 Days a Week,+91 8939289723,7550000485,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,500006,,Attapur,https://www.thedetailingmafia.com/locate-our-outlets/Attapur,,,Mr. TAMEEM MOHAMMEDMr. VIDHATA MUNUKUNTLA,,info@thedetailingmafia.com,,"Ground Floor , Kings Kohinoor Covention , Pillar No : 68, PV Narasimha Rao Expy, Attapur, Telangana .",,,9:00 AM - 8:00 PM,Making Cars Happy 7 Days a Week,91189 63786,,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,562107,,Attibele Bangalore,https://www.thedetailingmafia.com/locate-our-outlets/AttibeleBangalore,,,Nithin devaraju reddy,,info@thedetailingmafia.com,,"Beside Nayara Fuel Station, RTO service road, yadavanahalli village , attibele, anekal taluk Bangalore.",,,9:00 AM - 8:00 PM,7 Days,9066782008,9939935899,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,560083,,Bannerghatta Bangalore,https://www.thedetailingmafia.com/locate-our-outlets/Bannerghatta-Bangalore,,,Mr. Prithviraj sanil,Mr. Shubhan Rai,info@thedetailingmafia.com,,"21/5, Bannerghatta Rd, Gottigere, Bengaluru, Kothnur, Karnataka .",,,9:00 AM - 7:00 PM,Closed,8550002883,7353253959,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,151001,,Bathinda,https://www.thedetailingmafia.com/locate-our-outlets/Bhatinda,,,Mr. Kirandeep Singh,,info@thedetailingmafia.com,,"Mansa road, Adjoining Ivy hospital, Bathinda.",,,9:00 AM - 6:00 PM,Making Cars Happy 7 Days a Week,9889697896,,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,534202,,Bhimavaram,https://www.thedetailingmafia.com/locate-our-outlets/Bhimavaram,,,Mr. Akhil,,info@thedetailingmafia.com,,"134/3, Opposite JBR Convention, Undi Road, Bhimavaram, West Godavari District, Bhimavaram, Andhra Pradesh .",,,9:00 AM - 8:00 PM,7 Days Open.,7036099199,,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,462023,,Bhopal,https://www.thedetailingmafia.com/locate-our-outlets/Bhopal,,,O.P. Ratra,,info@thedetailingmafia.com,,"Modern Warehousing Hub , Plot No. 9 , Sector C , Industrial Area , JK Road ,Near Renault Showroom , Govindpura , Bhopal.",,,10:15 AM - 10:15 AM,Making Cars Happy 7 Days a Week,9685040352,,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,754001,,Bhubaneswar,https://www.thedetailingmafia.com/locate-our-outlets/Bhuwaneshwar,,,Saurav Nayak,,info@thedetailingmafia.com,,"Plot No-593, Mouza- Banguari, Pahal, Bhubaneswar.",,,9:00 AM - 6:00 PM,Making Cars Happy 7 Days a Week,9739906779,80730 21392,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,560068,,Bommanahalli,https://www.thedetailingmafia.com/locate-our-outlets/Bommanahalli,,,Prithvi R,,info@thedetailingmafia.com,,"No.32/A, Muneswara Nagar, Roopena Agrahara, Bommanahalli.",,,9:00 AM - 6:00 PM,Making Cars Happy 7 Days a Week,9916568055,9620602050,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,760002,,Brahmapur,https://www.thedetailingmafia.com/locate-our-outlets/Behrampur,,,Trilochan Nayak,Sudarsan Nayak,info@thedetailingmafia.com,,"The Detailing Mafia Andhapasara Road , Near Hanuman Temple District - Ganjam, Brahmapur, Odisha .",,,9:00 AM - 6:00 PM,Making Cars Happy 7 Days a Week,9937465600,7008777475,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,673633,,Calicut,https://www.thedetailingmafia.com/locate-our-outlets/Calicut,,,Mr. Vishnu,,info@thedetailingmafia.com,,"Spark 11, Malus Complex, Poovannur Palli, Ramanattukara Post.",,,10:00 AM - 8:00 PM,Making Cars Happy 7 Days a Week,9633003900,7510567565,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,160002,,Chandigarh,https://www.thedetailingmafia.com/locate-our-outlets/Chandigarh,,,Shivam Dewan,,info@thedetailingmafia.com,,"Plot No - 35, Industrial Area Phase I, Chandigarh.",,,9:00 AM - 6:00 PM,Making Cars Happy 7 Days a Week,9419150828,,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,400071,,Chembur Mumbai,https://www.thedetailingmafia.com/locate-our-outlets/ChemburMumbai,,,Mr. Vipin,,info@thedetailingmafia.com,,"Shop No 6-7, Ground Floor, Waman Tukaram Patil Marg, opp. Shatabdi Hospital.",,,9:00 AM - 7:00 PM,Making Cars Happy 7 Days a Week,+9178080 80831,7688003344,7688003311,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,600041,,Chennai ECR,https://www.thedetailingmafia.com/locate-our-outlets/ChennaiECR,,,Mr. Ashwin,,info@thedetailingmafia.com,,"2/632, East Coast Road, Neelankarai, Chennai(Opposite to Goyal Marble).",,,9:00 AM - 6:00 PM,Making Cars Happy 7 Days a Week,9791168316,8925737773,,,,,,,,,,,,,,,,,,,,,,,,
THE DETAILING MAFIA,600119,,Chennai OMR,https://www.thedetailingmafia.com/locate-our-outlets/ChennaiOMR,,,Mr. Arunkumar K,,info@thedetailingmafia.com,,"185, Old Mahabalipuram Rd, OMR, Sholinganallur, Chennai, Tamil Nadu .",,,9:00 AM - 8:00 PM,Making Cars Happy 7 Days a Week,7448444703,7448444701,,,,,,,,,,,,,,,,,,,,,,,,
